Brand,Phases,Model,Meter code,DSMR main version,DSMR version,WAN communication,P1 telegram header,brand code (calculated),Seen on Enexis,Seen on Liander,Seen on Stedin,Seen on Stedin Zeeland (fka Enduris),Seen on Rendo,Seen on Coteq,Seen on Westland Infra,manual,
Kaifa,1,MA105C,E0025,4,4.2.2,GPRS,/KFM5,KFM,TRUE,TRUE,TRUE,,,,,https://www.enexis.nl/-/media/files/handleidingen/ibm_kaifa_e0025_en_e0026_code_2018-8085.pdf ,
Kaifa,1,MA105H2CNL,E0055,5,5.0,GPRS,,,,,,,,,,,
Kaifa,1,MA105,E0002,4,4.0 (4.0.5 / 4.0.7),GPRS,/KFM5,KFM,,TRUE,TRUE,TRUE,,TRUE,,https://zeeland.stedin.net/-/media/project/zeeland/files/handleiding-elektriciteitsmeter-kaifa.pdf,
Kaifa,3,MA304,E0003,4,4.2,GPRS,/KFM5KAIFA-METER,KFM,TRUE,,TRUE,,,TRUE,,https://www.enexis.nl/-/media/files/handleidingen/ibm_kaifa_e0025_en_e0026_code_2018-8085.pdf ,
Kaifa,3,MA304A,E0021,4,4.2.2?,CDMA,/KFM5,KFM,,,,,,,,,
Kaifa,3,MA304A,E0028,4,4.2.2?,CDMA,/KFM5,KFM,,,,,,,,,
Kaifa,3,MA304C,E0026,4,4.2.2,GPRS,/KFM5,KFM,TRUE,,TRUE,,,,,https://www.enexis.nl/-/media/files/handleidingen/ibm_kaifa_e0025_en_e0026_code_2018-8085.pdf ,
Kaifa,3,MA304H4CNL GPRS,E0056,5,5.0,GPRS,,,,TRUE,,,,,,,
Kaifa,3,MA304H4CNL CDMA,E0056,5,5.0,CDMA,,,,,,,,,,https://www.stedin.net/-/media/feature/handleidingzoeken/handleidingen/handleiding-slimme-meter-e-kaifa-smr-50-3fase.pdf,
Kaifa,1,SMR 5.5 MA105,E0078,5,5.5,LTE-M,,,,TRUE,TRUE,,,,,https://www.liander.nl/sites/default/files/meters/Kaifa%20SMR5.5%20MA105_20170718_v1.1.pdf,
Kaifa,3,MA304 SMR5.5,E0079,5,5.5,LTE-M,,,,TRUE,,,,,,https://www.liander.nl/sites/default/files/meters/Kaifa%20SMR5.5%20MA304_20170718_v1.1.pdf,
Kamstrup,1,162JxC,KA6U,2,2.2,,/KMP5,KMP,TRUE,TRUE,,,,,,https://www.enexis.nl/-/media/files/handleidingen/kamstrup_zabf_en_ka6u_code_2018-8087.pdf,
Kamstrup,3,382JxC,ZABF,2,2.2,,/KMP5,KMP,TRUE,TRUE,,,,,,https://www.enexis.nl/-/media/files/handleidingen/kamstrup_zabf_en_ka6u_code_2018-8087.pdf ,
Landis+Gyr,1,ZCF110CBtFs2,E0004,4,4.0,,/XMX5LG,XMX,TRUE,TRUE,TRUE,TRUE,,TRUE,,https://www.enexis.nl/-/media/files/handleidingen/landis_gyr_e004_en_e005_code_2018-8088.pdf,
Landis+Gyr,3,ZMF110ACdFs2,E0040,,,,,,,,,,,,,,
Landis+Gyr,1,ZCF110CCtFs2 CDMA,E0045,5,5.0,CDMA,,,,,TRUE,,,,TRUE,https://www.westlandinfra.nl/application/files/1516/5295/1908/Landis-Gyr-E350-1-fase-SMR-5.0.pdf,
Landis+Gyr,1,ZCF110CCtFs2,E0031,4,4.2,GPRS,,,TRUE,TRUE,,,,,,https://www.enexis.nl/-/media/files/handleidingen/landis_gyr_e004_en_e005_code_2018-8088.pdf,
Landis+Gyr,1,ZCF120ABdFs2,KAAE,2,2.2,,/XMX5XMXABCE000012345,XMX,,,TRUE,,,,,,
Landis+Gyr,3,ZMF110CBtFs2,E0005,4,4.0,GPRS,/XMX5LG,XMX,TRUE,TRUE,,,,TRUE,,https://www.enexis.nl/-/media/files/handleidingen/landis_gyr_e004_en_e005_code_2018-8088.pdf,
Landis+Gyr,3,ZMF110CCtFs2 CDMA,E0046,5,5.0,CDMA,,,,,,,,,TRUE,https://www.westlandinfra.nl/application/files/8616/5295/1908/Landis-Gyr-E350-3-fase-SMR-5.0.pdf,
Landis+Gyr,3,ZMF110CCtFs2 GPRS,E0036,5,5.0,GPRS,,,,TRUE,,,,,,https://www.liander.nl/sites/default/files/meters/L%2BG%20ELEK%20ZMF110CCtFs2%20GPRS%20VERSIE%202020.pdf,
Landis+Gyr,3,ZMF110CCtFs2 CDMA,E0036,5,5.0,CDMA,,,,TRUE,,,,,,https://www.liander.nl/sites/default/files/meters/Liander-L%2BG-ELEK-ZMF110CCtFs2_CDMA_v1_1.pdf,
Landis+Gyr,3,ZMF110CCtFs2,E0030,4,4.2,GPRS,,,TRUE,TRUE,,,,,,https://www.enexis.nl/-/media/files/handleidingen/landis_gyr_e004_en_e005_code_2018-8088.pdf,
Landis+Gyr,1,ZCF110CCtFs2 GPRS,E0035,5,5.0,GPRS,,,,TRUE,,,,,,https://www.liander.nl/sites/default/files/meters/Liander-LandisGyr-ELEK-ZCF110CCtFs2_GPRS_v1_1.pdf,
Landis+Gyr,1,ZCF110CCtFs2 CDMA,E0035,5,5.0,CDMA,,,,TRUE,,,,,,https://www.liander.nl/sites/default/files/meters/Liander-LandisGyr-ELEK-ZCF110CCtFs2_CDMA_v1_1.pdf,
Landis+Gyr,3,ZMF120ABds2,ZAML,2,2.2,,,,,,TRUE,,,,,https://www.stedin.net/-/media/feature/handleidingzoeken/handleidingen/handleiding-slimme-meter-e-landis-gyr-zmf120abds2.pdf,
Landis+Gyr,3,ZMF120ACds2,ZAMK,2,2.2,,,,,,,,,,,,
Landis+Gyr,3,ZMF120ABdFs2,ZAEX,2,2.2,,,,,,TRUE,,,,,https://www.stedin.net/-/media/feature/handleidingzoeken/handleidingen/handleiding-slimme-meter-e-landis-gyr-zmf120abds2.pdf,
Landis+Gyr,3,ZMF120ACdFs2,ZAEZ,2,2.2,,,,,,,,,,,,
Landis+Gyr,1,CD2D,E0051,5,5.0,GPRS,/XMX5LG,XMX,,TRUE,TRUE,,,,TRUE,https://www.westlandinfra.nl/application/files/3816/5279/4169/Landis-Gyr-E360-1-fase-SMR-5.0.pdf,
Landis+Gyr,3,CM3D,E0052,5,5.0,,,,,,,,,,TRUE,https://www.westlandinfra.nl/application/files/4816/5279/4169/Landis-Gyr-E360-3-fase-SMR-5.0.pdf,
Landis+Gyr,3,CM3D,E0067,5,5.0,,/XMX5LGF,XMX,,,,,,,,,
Sagemcom,3,T210-D ESMR5,E0048,5,5.0,LTE Cat.1,/Ene5,Ene,TRUE,,,,TRUE,,TRUE,https://www.enexis.nl/-/media/files/handleidingen/e-sagemcom-t210d_2018-8094.pdf,
Sagemcom,3,T211 ESMR5,E0062,5,5.0,LTE Cat.M1,,,,,,,,,,https://www.liander.nl/sites/default/files/meters/Sagemcom%20T211%20ESMR5%20V1_0%2020220519%20proef%204.pdf,
Sagemcom,3,T211 ESMRS,E0071,,,,,,,,,,,,,,
Sagemcom,1,XS210 ESMR5,E0047,5,5.0,,,,TRUE,,,,TRUE,,TRUE,https://www.enexis.nl/-/media/files/handleidingen/e-sagemcom-xs210_2018-8093.pdf,
ZIV,1,5CTA1DCE000AAD0,E0063,5,5.0,LTE Cat.1,,,TRUE,,,,,TRUE,,,
ZIV,3,5CTA3BCE000AAD0,E0058,5,5.0,LTE Cat.1,,,TRUE,,,,TRUE,TRUE,,https://www.enexis.nl/-/media/files/handleidingen/2019-8105-handleiding-ziv-1-of-3-fase-lr.pdf,
ZIV,3,5CTA3BCE000AAD0,E0068,5,5.0,,,,TRUE,,,,,,,https://www.enexis.nl/-/media/files/handleidingen/2019-8105-handleiding-ziv-1-of-3-fase-lr.pdf,
ZIV,,,E0069,5,5.0,,,,TRUE,,,,,,,,
ZIV,,,E0076,,,,,,TRUE,,,,,,,,
ZIV,,,E0077,,,,,,TRUE,,,,,,,,
